Data Source,Species,Zone,Reason for Rejection
Historical (VBA),Grey Fantail,N/A,Taxonomy Exclusion
Historical (VBA),Agile Antechinus,N/A,Taxonomy Exclusion
Historical (VBA),Little Pied Cormorant,N/A,Taxonomy Exclusion
Historical (VBA),Great Cormorant,N/A,Taxonomy Exclusion
Historical (VBA),Little Black Cormorant,N/A,Taxonomy Exclusion
Historical (VBA),Pied Cormorant,N/A,Taxonomy Exclusion
Historical (VBA),Rufous Fantail,N/A,Taxonomy Exclusion
Historical (VBA),Sacred Kingfisher,N/A,Taxonomy Exclusion
Historical (Live),Great Cormorant,N/A,Taxonomy Exclusion
Historical (Live),Grey Fantail,N/A,Taxonomy Exclusion
Historical (Live),Little Pied Cormorant,N/A,Taxonomy Exclusion
Historical (Live),Rufous Fantail,N/A,Taxonomy Exclusion
Historical (Live),Sacred Kingfisher,N/A,Taxonomy Exclusion
Live Data,Grey Fantail,Langwarrin Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,Langwarrin Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,The Pines Flora and Fauna Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,Frankston Nature Conservation Reserve,Taxonomy Exclusion
Live Data,Grey Fantail,Frankston Nature Conservation Reserve,Taxonomy Exclusion
