"Victorian Biodiversity Atlas, Species Summary List"
(Date: 07/04/2026 11:15 PM)
Selected Area
Type: Parks & Reserves   Name: The Pines FFR


Common Filter
Taxon Type:,Passerine birds
Advanced Filter
No advanced filter criteria.
Total Records
54
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
10357,Hirundo neoxena,Welcome Swallow, ,       ,Terrestrial fauna, , ,2,19/11/2008
10359,Petrochelidon nigricans,Tree Martin, ,       ,Terrestrial fauna, , ,1,12/12/2007
10360,Petrochelidon ariel,Fairy Martin, ,       ,Terrestrial fauna, , ,1,19/11/2008
10361,Rhipidura albiscapa,Grey Fantail, ,       ,Terrestrial fauna, , ,7,05/06/2021
10364,Rhipidura leucophrys,Willie Wagtail, ,       ,Terrestrial fauna, , ,3,19/11/2008
10380,Petroica boodang,Scarlet Robin, ,       ,Terrestrial fauna, , ,1,23/05/1988
10382,Petroica phoenicea,Flame Robin, ,       ,Terrestrial fauna, , ,1,23/05/1988
10385,Melanodryas cucullata,Hooded Robin,Endangered,EN en  ,Terrestrial fauna, , ,1,19/11/2008
10392,Eopsaltria australis,Eastern Yellow Robin, ,       ,Terrestrial fauna, , ,6,25/06/2020
10398,Pachycephala pectoralis,Golden Whistler, ,       ,Terrestrial fauna, , ,4,30/06/2020
10401,Pachycephala rufiventris,Rufous Whistler, ,       ,Terrestrial fauna, , ,1,12/12/2007
10408,Colluricincla harmonica,Grey Shrike-thrush, ,       ,Terrestrial fauna, , ,6,25/06/2020
10415,Grallina cyanoleuca,Magpie-lark, ,       ,Terrestrial fauna, , ,4,10/11/2014
10416,Falcunculus frontatus,Eastern Shrike-tit, ,       ,Terrestrial fauna, , ,1,12/12/2007
10424,Coracina novaehollandiae,Black-faced Cuckoo-shrike, ,       ,Terrestrial fauna, , ,3,19/11/2008
10430,Lalage tricolor,White-winged Triller, ,       ,Terrestrial fauna, , ,1,12/12/2007
10470,Acanthiza lineata,Striated Thornbill, ,       ,Terrestrial fauna, , ,2,19/11/2008
10475,Acanthiza pusilla,Brown Thornbill, ,       ,Terrestrial fauna, , ,5,25/06/2020
10486,Acanthiza chrysorrhoa,Yellow-rumped Thornbill, ,       ,Terrestrial fauna, , ,1,19/11/2008
