"Victorian Biodiversity Atlas, Species Summary List"
(Date: 07/04/2026 11:19 PM)
Selected Area
Type: Parks & Reserves   Name: Frankston NCR


Common Filter
Taxon Type:,Passerine birds
Advanced Filter
No advanced filter criteria.
Total Records
44
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
10357,Hirundo neoxena,Welcome Swallow, ,       ,Terrestrial fauna, , ,18,21/05/2021
10361,Rhipidura albiscapa,Grey Fantail, ,       ,Terrestrial fauna, , ,12,15/12/2020
10364,Rhipidura leucophrys,Willie Wagtail, ,       ,Terrestrial fauna, , ,1,19/05/1988
10383,Petroica rodinogaster,Pink Robin, ,       ,Terrestrial fauna, , ,1,19/05/1988
10392,Eopsaltria australis,Eastern Yellow Robin, ,       ,Terrestrial fauna, , ,8,15/12/2020
10398,Pachycephala pectoralis,Golden Whistler, ,       ,Terrestrial fauna, , ,4,17/08/2020
10401,Pachycephala rufiventris,Rufous Whistler, ,       ,Terrestrial fauna, , ,4,15/12/2020
10408,Colluricincla harmonica,Grey Shrike-thrush, ,       ,Terrestrial fauna, , ,8,15/12/2020
10415,Grallina cyanoleuca,Magpie-lark, ,       ,Terrestrial fauna, , ,2,14/11/2020
10424,Coracina novaehollandiae,Black-faced Cuckoo-shrike, ,       ,Terrestrial fauna, , ,2,18/12/2007
10470,Acanthiza lineata,Striated Thornbill, ,       ,Terrestrial fauna, , ,3,13/08/2018
10475,Acanthiza pusilla,Brown Thornbill, ,       ,Terrestrial fauna, , ,8,15/12/2020
10488,Sericornis frontalis,White-browed Scrubwren, ,       ,Terrestrial fauna, , ,8,08/11/2020
10529,Malurus cyaneus,Superb Fairy-wren, ,       ,Terrestrial fauna, , ,7,20/10/2020
10549,Daphoenositta chrysoptera,Varied Sittella, ,       ,Terrestrial fauna, , ,1,19/05/1988
10564,Dicaeum hirundinaceum,Mistletoebird, ,       ,Terrestrial fauna, , ,2,12/04/2020
10565,Pardalotus punctatus,Spotted Pardalote, ,       ,Terrestrial fauna, , ,3,13/08/2018
10574,Zosterops lateralis,Silvereye, ,       ,Terrestrial fauna, , ,3,15/12/2020
10578,Melithreptus lunatus,White-naped Honeyeater, ,       ,Terrestrial fauna, , ,2,15/12/2020
10583,Melithreptus brevirostris,Brown-headed Honeyeater, ,       ,Terrestrial fauna, , ,1,19/05/1988
10591,Acanthorhynchus tenuirostris,Eastern Spinebill, ,       ,Terrestrial fauna, , ,3,13/08/2018
10614,Caligavis chrysops,Yellow-faced Honeyeater, ,       ,Terrestrial fauna, , ,1,19/05/1988
10617,Nesoptilotis leucotis,White-eared Honeyeater, ,       ,Terrestrial fauna, , ,3,01/02/2008
10625,Ptilotula penicillata,White-plumed Honeyeater, ,       ,Terrestrial fauna, , ,1,19/05/1988
10630,Phylidonyris pyrrhopterus,Crescent Honeyeater, ,       ,Terrestrial fauna, , ,1,19/05/1988
10631,Phylidonyris novaehollandiae,New Holland Honeyeater, ,       ,Terrestrial fauna, , ,7,17/08/2020
10634,Manorina melanocephala,Noisy Miner, ,       ,Terrestrial fauna, , ,6,17/08/2020
10637,Anthochaera chrysoptera,Little Wattlebird, ,       ,Terrestrial fauna, , ,1,19/05/1988
10638,Anthochaera carunculata,Red Wattlebird, ,       ,Terrestrial fauna, , ,8,31/10/2020
10662,Neochmia temporalis,Red-browed Finch, ,       ,Terrestrial fauna, , ,3,12/04/2020
10697,Strepera versicolor,Grey Currawong, ,       ,Terrestrial fauna, , ,1,14/08/2019
10702,Cracticus torquatus,Grey Butcherbird, ,       ,Terrestrial fauna, , ,9,14/11/2020
10705,Gymnorhina tibicen,Australian Magpie, ,       ,Terrestrial fauna, , ,10,03/03/2021
10779,Zoothera lunulata,Bassian Thrush, ,       ,Terrestrial fauna, , ,7,26/03/2021
10954,Corvus mellori,Little Raven, ,       ,Terrestrial fauna, , ,8,14/11/2020
10976,Pardalotus striatus,Striated Pardalote, ,       ,Terrestrial fauna, , ,1,19/05/1988
10991,Turdus merula,Common Blackbird, ,      *,Terrestrial fauna,Introduced, ,4,29/07/2020
10993,Alauda arvensis,Eurasian Skylark, ,      *,Terrestrial fauna,Introduced, ,1,19/05/1988
10995,Passer domesticus,House Sparrow, ,      *,Terrestrial fauna,Introduced, ,1,19/05/1988
10997,Chloris chloris,European Greenfinch, ,      *,Terrestrial fauna,Introduced, ,1,19/05/1988
10998,Acridotheres tristis,Common Myna, ,      *,Terrestrial fauna,Introduced, ,1,19/05/1988
10999,Sturnus vulgaris,Common Starling, ,      *,Terrestrial fauna,Introduced, ,1,19/05/1988
50240,Corvus spp.,Ravens and Crows, ,       ,Terrestrial fauna, , ,2,15/12/2020
528559,Carduelis carduelis,European Goldfinch, ,      *,Terrestrial fauna,Introduced, ,1,19/05/1988
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
