"Victorian Biodiversity Atlas, Species Summary List"
(Date: 07/04/2026 10:54 PM)
Selected Area
Type: Parks & Reserves   Name: Langwarrin FFR


Common Filter
Taxon Type:,Mammals
Advanced Filter
No advanced filter criteria.
Total Records
14
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
11003,Tachyglossus aculeatus,Short-beaked Echidna, ,       ,Terrestrial fauna, , ,5,07/10/2020
11028,Antechinus agilis,Agile Antechinus, ,       ,Terrestrial fauna, , ,5,22/02/2012
11069,Sminthopsis leucopus,White-footed Dunnart,Vulnerable,   vu  ,Terrestrial fauna, , ,2,22/02/2012
11113,Trichosurus vulpecula,Common Brush-tailed Possum, ,       ,Terrestrial fauna, , ,1,01/01/1981
11129,Pseudocheirus peregrinus,Eastern Ring-tailed Possum, ,       ,Terrestrial fauna, , ,6,19/06/1989
11150,Cercartetus nanus,Eastern Pygmy-possum, ,       ,Terrestrial fauna, , ,1,22/02/2012
11162,Phascolarctos cinereus,Koala, ,       ,Terrestrial fauna, , ,2,06/09/2020
11242,Wallabia bicolor,Black-tailed Wallaby, ,       ,Terrestrial fauna, , ,13,01/01/2014
11398,Rattus lutreolus,Swamp Rat, ,       ,Terrestrial fauna, , ,10,26/06/2018
11412,Mus musculus,House Mouse, ,      *,Terrestrial fauna,Introduced, ,5,01/01/1994
11455,Pseudomys novaehollandiae,New Holland Mouse,Vulnerable,VU vu  ,Terrestrial fauna, , ,3,16/02/1983
11510,Oryctolagus cuniculus,European Rabbit, ,      *,Terrestrial fauna,Introduced, ,9,01/12/2013
61092,Isoodon obesulus obesulus,Southern Brown Bandicoot,Endangered,EN en  ,Terrestrial fauna, , ,5,19/06/1989
528552,Vulpes vulpes,Red Fox, ,      *,Terrestrial fauna,Introduced, ,3,01/12/2013
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
