"Victorian Biodiversity Atlas, Species Summary List"
(Date: 07/04/2026 11:15 PM)
Selected Area
Type: Parks & Reserves   Name: The Pines FFR


Common Filter
Taxon Type:,Mammals
Advanced Filter
No advanced filter criteria.
Total Records
18
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
11003,Tachyglossus aculeatus,Short-beaked Echidna, ,       ,Terrestrial fauna, , ,9,06/10/2020
11113,Trichosurus vulpecula,Common Brush-tailed Possum, ,       ,Terrestrial fauna, , ,5,10/11/2014
11129,Pseudocheirus peregrinus,Eastern Ring-tailed Possum, ,       ,Terrestrial fauna, , ,8,15/05/2017
11138,Petaurus notatus,Krefft's Glider, ,       ,Terrestrial fauna, , ,1,19/11/2008
11165,Vombatus ursinus,Bare-nosed Wombat, ,       ,Terrestrial fauna, , ,1,10/11/2014
11242,Wallabia bicolor,Black-tailed Wallaby, ,       ,Terrestrial fauna, , ,17,01/09/2020
11398,Rattus lutreolus,Swamp Rat, ,       ,Terrestrial fauna, , ,76,10/11/2014
11408,Rattus rattus,Black Rat, ,      *,Terrestrial fauna,Introduced, ,28,10/11/2014
11409,Rattus norvegicus,Brown Rat, ,      *,Terrestrial fauna,Introduced, ,1,10/03/1997
11412,Mus musculus,House Mouse, ,      *,Terrestrial fauna,Introduced, ,11,10/11/2014
11510,Oryctolagus cuniculus,European Rabbit, ,      *,Terrestrial fauna,Introduced, ,12,10/11/2014
11518,Bos taurus,Cattle (feral), ,      *,Terrestrial fauna,Introduced, ,1,30/10/2007
11536,Felis catus,Domestic Cat (feral), ,      *,Terrestrial fauna,Introduced, ,8,10/11/2014
11827,Mustela furo,Ferret, ,      *,Terrestrial fauna,Introduced, ,1,19/11/2008
50241,Trichosurus spp.,Brushtail Possums, ,       ,Terrestrial fauna, , ,1,20/02/2008
61092,Isoodon obesulus obesulus,Southern Brown Bandicoot,Endangered,EN en  ,Terrestrial fauna, , ,10,19/11/2008
528552,Vulpes vulpes,Red Fox, ,      *,Terrestrial fauna,Introduced, ,7,10/11/2014
904714,Canis spp.,"Undetermined, Dingo or Dog", ,       ,Terrestrial fauna, , ,3,10/11/2014
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
