"Victorian Biodiversity Atlas, Species Summary List"
(Date: 07/04/2026 11:15 PM)
Selected Area
Type: Parks & Reserves   Name: The Pines FFR


Common Filter
Taxon Type:,Other Non-passerine birds
Advanced Filter
No advanced filter criteria.
Total Records
30
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
10035,Phaps elegans,Brush Bronzewing, ,       ,Terrestrial fauna, , ,1,10/11/2014
10043,Ocyphaps lophotes,Crested Pigeon, ,       ,Terrestrial fauna, , ,4,08/11/2018
10056,Gallinula tenebrosa,Dusky Moorhen, ,       ,Terrestrial fauna, , ,4,10/11/2014
10059,Fulica atra,Eurasian Coot, ,       ,Terrestrial fauna, , ,3,17/02/1992
10061,Tachybaptus novaehollandiae,Australasian Grebe, ,       ,Terrestrial fauna, , ,3,17/02/1992
10168,Gallinago hardwickii,Latham's Snipe,Vulnerable,VU vu  ,"Terrestrial fauna, Coastal", , ,12,17/02/1992
10179,Threskiornis molucca,Australian White Ibis, ,       ,Terrestrial fauna, , ,2,19/11/2008
10180,Threskiornis spinicollis,Straw-necked Ibis, ,       ,Terrestrial fauna, , ,1,19/11/2008
10188,Egretta novaehollandiae,White-faced Heron, ,       ,Terrestrial fauna, , ,2,19/11/2008
10208,Anas superciliosa,Pacific Black Duck, ,       ,Terrestrial fauna, , ,7,28/10/2021
10211,Anas gracilis,Grey Teal, ,       ,Terrestrial fauna, , ,1,17/02/1979
10215,Aythya australis,Hardhead, ,       ,Terrestrial fauna, , ,1,15/02/1990
10221,Accipiter fasciatus,Brown Goshawk, ,       ,Terrestrial fauna, , ,2,19/11/2008
10239,Falco berigora,Brown Falcon, ,       ,Terrestrial fauna, , ,2,19/11/2008
10254,Trichoglossus moluccanus,Rainbow Lorikeet, ,       ,Terrestrial fauna, , ,3,25/06/2020
10260,Parvipsitta pusilla,Little Lorikeet, ,       ,Terrestrial fauna, , ,1,25/06/2020
10265,Calyptorhynchus lathami,Glossy Black-Cockatoo,Vulnerable,VU vu  ,Terrestrial fauna, , ,8,21/10/2022
10267,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo, ,       ,Terrestrial fauna, , ,1,25/06/2020
10269,Cacatua galerita,Sulphur-crested Cockatoo, ,       ,Terrestrial fauna, , ,1,19/11/2008
10273,Eolophus roseicapilla,Galah, ,       ,Terrestrial fauna, , ,2,19/11/2008
10282,Platycercus elegans,Crimson Rosella, ,       ,Terrestrial fauna, , ,1,19/11/2008
10288,Platycercus eximius,Eastern Rosella, ,       ,Terrestrial fauna, , ,5,25/06/2020
10306,Neophema chrysostoma,Blue-winged Parrot,Vulnerable,VU vu  ,Terrestrial fauna, , ,1,23/05/1988
10313,Podargus strigoides,Tawny Frogmouth, ,       ,Terrestrial fauna, , ,1,19/11/2008
10317,Aegotheles cristatus,Australian Owlet-nightjar, ,       ,Terrestrial fauna, , ,1,10/11/2014
10322,Dacelo novaeguineae,Laughing Kookaburra, ,       ,Terrestrial fauna, , ,2,19/11/2008
10338,Cacomantis flabelliformis,Fan-tailed Cuckoo, ,       ,Terrestrial fauna, , ,3,25/06/2020
10342,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo, ,       ,Terrestrial fauna, , ,2,19/11/2008
10989,Spilopelia chinensis,Spotted Dove, ,      *,Terrestrial fauna,Introduced, ,5,25/06/2020
75132,fam. Cacatuidae gen. Cacatua,Corellas and Cockatoos, ,       ,Terrestrial fauna, , ,1,25/06/2017
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
