"Victorian Biodiversity Atlas, Species Summary List"
(Date: 07/04/2026 11:20 PM)
Selected Area
Type: Parks & Reserves   Name: Frankston NCR


Common Filter
Taxon Type:,Other Non-passerine birds
Advanced Filter
No advanced filter criteria.
Total Records
43
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
10100,Microcarbo melanoleucos,Little Pied Cormorant, ,       ,Terrestrial fauna, , ,30,07/07/2021
10034,Phaps chalcoptera,Common Bronzewing, ,       ,Terrestrial fauna, , ,9,15/10/2020
10043,Ocyphaps lophotes,Crested Pigeon, ,       ,Terrestrial fauna, , ,2,14/11/2020
10056,Gallinula tenebrosa,Dusky Moorhen, ,       ,Terrestrial fauna, , ,2,13/08/2018
10058,Porphyrio melanotus,Australasian Swamphen, ,       ,Terrestrial fauna, , ,6,29/12/2019
10059,Fulica atra,Eurasian Coot, ,       ,Terrestrial fauna, , ,35,07/07/2021
10060,Podiceps cristatus,Great Crested Grebe, ,       ,Terrestrial fauna, , ,13,09/12/2019
10061,Tachybaptus novaehollandiae,Australasian Grebe, ,       ,Terrestrial fauna, , ,3,08/06/2019
10062,Poliocephalus poliocephalus,Hoary-headed Grebe, ,       ,Terrestrial fauna, , ,10,30/11/2019
10096,Phalacrocorax carbo,Great Cormorant, ,       ,Terrestrial fauna, , ,11,04/08/2021
10097,Phalacrocorax sulcirostris,Little Black Cormorant, ,       ,Terrestrial fauna, , ,12,04/08/2021
10099,Phalacrocorax varius,Pied Cormorant, ,       ,"Terrestrial fauna, Coastal", , ,2,21/10/2018
10106,Pelecanus conspicillatus,Australian Pelican, ,       ,Terrestrial fauna, , ,1,19/10/2020
10179,Threskiornis molucca,Australian White Ibis, ,       ,Terrestrial fauna, , ,1,08/01/2019
10188,Egretta novaehollandiae,White-faced Heron, ,       ,Terrestrial fauna, , ,7,03/03/2021
10192,Nycticorax caledonicus,Nankeen Night-Heron, ,       ,Terrestrial fauna, , ,1,19/05/1988
10202,Chenonetta jubata,Australian Wood Duck, ,       ,Terrestrial fauna, , ,19,11/01/2021
10203,Cygnus atratus,Black Swan, ,       ,Terrestrial fauna, , ,1,29/12/2019
10207,Tadorna tadornoides,Australian Shelduck, ,       ,Terrestrial fauna, , ,1,10/12/2019
10208,Anas superciliosa,Pacific Black Duck, ,       ,Terrestrial fauna, , ,17,21/05/2021
10210,Anas castanea,Chestnut Teal, ,       ,Terrestrial fauna, , ,3,12/12/2020
10214,Stictonetta naevosa,Freckled Duck,Endangered,   en  ,Terrestrial fauna, , ,1,08/06/2019
10215,Aythya australis,Hardhead, ,       ,Terrestrial fauna, , ,5,03/01/2020
10216,Oxyura australis,Blue-billed Duck,Vulnerable,   vu  ,Terrestrial fauna, , ,17,01/07/2019
10217,Biziura lobata,Musk Duck,Vulnerable,   vu  ,Terrestrial fauna, , ,22,11/01/2021
10219,Circus approximans,Swamp Harrier, ,       ,Terrestrial fauna, , ,1,01/02/2008
10221,Accipiter fasciatus,Brown Goshawk, ,       ,Terrestrial fauna, , ,5,12/12/2020
10248,Ninox strenua,Powerful Owl,Vulnerable,   vu  ,Terrestrial fauna, , ,15,23/04/2021
10254,Trichoglossus moluccanus,Rainbow Lorikeet, ,       ,Terrestrial fauna, , ,9,29/07/2020
10256,Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet, ,       ,Terrestrial fauna, , ,1,01/02/2008
10258,Glossopsitta concinna,Musk Lorikeet, ,       ,Terrestrial fauna, , ,1,19/05/1988
10267,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo, ,       ,Terrestrial fauna, , ,7,14/11/2020
10273,Eolophus roseicapilla,Galah, ,       ,Terrestrial fauna, , ,1,19/05/1988
10282,Platycercus elegans,Crimson Rosella, ,       ,Terrestrial fauna, , ,1,06/07/2019
10288,Platycercus eximius,Eastern Rosella, ,       ,Terrestrial fauna, , ,7,31/10/2020
10309,Lathamus discolor,Swift Parrot,Critically Endangered,CR cr  ,Terrestrial fauna, , ,1,19/05/1988
10313,Podargus strigoides,Tawny Frogmouth, ,       ,Terrestrial fauna, , ,1,21/11/2007
10322,Dacelo novaeguineae,Laughing Kookaburra, ,       ,Terrestrial fauna, , ,11,06/01/2021
10338,Cacomantis flabelliformis,Fan-tailed Cuckoo, ,       ,Terrestrial fauna, , ,2,23/11/2007
10342,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo, ,       ,Terrestrial fauna, , ,1,19/05/1988
10957,Columba livia,Domestic Pigeon, ,      *,Terrestrial fauna,Introduced, ,1,13/08/2018
10989,Spilopelia chinensis,Spotted Dove, ,      *,Terrestrial fauna,Introduced, ,8,15/12/2020
50317,Cacatua spp.,Corellas and Cockatoos, ,       ,Terrestrial fauna, , ,1,20/10/2020
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
