"Victorian Biodiversity Atlas, Species Summary List - Non-passerine Birds"
(Date: 07/04/2026 10:57 PM)
Selected Area
Type: Parks & Reserves   Name: Langwarrin FFR


Common Filter
Taxon Type:,Other Non-passerine birds
Advanced Filter
No advanced filter criteria.
Total Records
49
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
10100,Microcarbo melanoleucos,Little Pied Cormorant, ,       ,Terrestrial fauna, , ,1,01/01/1970
10010,Synoicus ypsilophorus,Brown Quail, ,       ,Terrestrial fauna, , ,1,14/01/2009
10014,Turnix varius,Painted Button-quail, ,       ,Terrestrial fauna, , ,3,24/03/2012
10034,Phaps chalcoptera,Common Bronzewing, ,       ,Terrestrial fauna, , ,16,25/12/2017
10035,Phaps elegans,Brush Bronzewing, ,       ,Terrestrial fauna, , ,19,11/01/2010
10045,Lewinia pectoralis,Lewin's Rail,Vulnerable,   vu  ,Terrestrial fauna, , ,4,17/05/2012
10061,Tachybaptus novaehollandiae,Australasian Grebe, ,       ,Terrestrial fauna, , ,1,01/01/1970
10097,Phalacrocorax sulcirostris,Little Black Cormorant, ,       ,Terrestrial fauna, , ,1,18/09/1991
10099,Phalacrocorax varius,Pied Cormorant, ,       ,"Terrestrial fauna, Coastal", , ,1,11/02/1988
10106,Pelecanus conspicillatus,Australian Pelican, ,       ,Terrestrial fauna, , ,2,10/06/2018
10179,Threskiornis molucca,Australian White Ibis, ,       ,Terrestrial fauna, , ,9,19/08/2021
10180,Threskiornis spinicollis,Straw-necked Ibis, ,       ,Terrestrial fauna, , ,5,14/08/2019
10188,Egretta novaehollandiae,White-faced Heron, ,       ,Terrestrial fauna, , ,2,14/09/2020
10189,Ardea pacifica,White-necked Heron, ,       ,Terrestrial fauna, , ,2,26/05/2018
10202,Chenonetta jubata,Australian Wood Duck, ,       ,Terrestrial fauna, , ,5,19/08/2021
10203,Cygnus atratus,Black Swan, ,       ,Terrestrial fauna, , ,1,01/01/1970
10208,Anas superciliosa,Pacific Black Duck, ,       ,Terrestrial fauna, , ,6,14/08/2019
10221,Accipiter fasciatus,Brown Goshawk, ,       ,Terrestrial fauna, , ,10,14/08/2019
10222,Accipiter cirrocephalus,Collared Sparrowhawk, ,       ,Terrestrial fauna, , ,3,25/12/2017
10228,Haliastur sphenurus,Whistling Kite, ,       ,Terrestrial fauna, , ,2,08/08/2018
10232,Elanus axillaris,Black-shouldered Kite, ,       ,Terrestrial fauna, , ,1,01/01/1970
10235,Falco longipennis,Australian Hobby, ,       ,Terrestrial fauna, , ,3,01/12/1990
10239,Falco berigora,Brown Falcon, ,       ,Terrestrial fauna, , ,2,02/11/1991
10240,Falco cenchroides,Nankeen Kestrel, ,       ,Terrestrial fauna, , ,1,01/01/1970
10242,Ninox boobook,Southern Boobook, ,       ,Terrestrial fauna, , ,1,01/01/1970
10248,Ninox strenua,Powerful Owl,Vulnerable,   vu  ,Terrestrial fauna, , ,3,25/07/2020
10254,Trichoglossus moluccanus,Rainbow Lorikeet, ,       ,Terrestrial fauna, , ,29,19/08/2021
10258,Glossopsitta concinna,Musk Lorikeet, ,       ,Terrestrial fauna, , ,2,30/12/1998
10260,Parvipsitta pusilla,Little Lorikeet, ,       ,Terrestrial fauna, , ,1,01/01/1970
10265,Calyptorhynchus lathami,Glossy Black-Cockatoo,Vulnerable,VU vu  ,Terrestrial fauna, , ,1,06/05/2020
10267,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo, ,       ,Terrestrial fauna, , ,5,19/08/2021
10268,Callocephalon fimbriatum,Gang-gang Cockatoo,Endangered,EN en  ,Terrestrial fauna, , ,2,30/07/2001
10269,Cacatua galerita,Sulphur-crested Cockatoo, ,       ,Terrestrial fauna, , ,8,14/08/2019
10271,Cacatua sanguinea,Little Corella, ,       ,Terrestrial fauna, , ,1,14/08/2019
10273,Eolophus roseicapilla,Galah, ,       ,Terrestrial fauna, , ,9,08/08/2018
10281,Alisterus scapularis,Australian King-Parrot, ,       ,Terrestrial fauna, , ,1,25/12/2017
10282,Platycercus elegans,Crimson Rosella, ,       ,Terrestrial fauna, , ,1,13/10/1999
10288,Platycercus eximius,Eastern Rosella, ,       ,Terrestrial fauna, , ,30,19/08/2021
10306,Neophema chrysostoma,Blue-winged Parrot,Vulnerable,VU vu  ,Terrestrial fauna, , ,1,01/01/1970
10313,Podargus strigoides,Tawny Frogmouth, ,       ,Terrestrial fauna, , ,2,08/08/2018
10317,Aegotheles cristatus,Australian Owlet-nightjar, ,       ,Terrestrial fauna, , ,1,18/09/1991
10322,Dacelo novaeguineae,Laughing Kookaburra, ,       ,Terrestrial fauna, , ,19,14/06/2020
10326,Todiramphus sanctus,Sacred Kingfisher, ,       ,Terrestrial fauna, , ,4,25/12/2017
10334,Hirundapus caudacutus,White-throated Needletail,Vulnerable,VU vu  ,Terrestrial fauna, , ,1,01/01/1970
10337,Cacomantis pallidus,Pallid Cuckoo, ,       ,Terrestrial fauna, , ,6,09/11/2017
10338,Cacomantis flabelliformis,Fan-tailed Cuckoo, ,       ,Terrestrial fauna, , ,13,14/08/2019
10342,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo, ,       ,Terrestrial fauna, , ,6,16/12/2005
10344,Chrysococcyx lucidus,Shining Bronze-Cuckoo, ,       ,Terrestrial fauna, , ,15,09/11/2017
10989,Spilopelia chinensis,Spotted Dove, ,      *,Terrestrial fauna,Introduced, ,30,19/08/2021
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
