"Victorian Biodiversity Atlas, Species Summary List"
(Date: 07/04/2026 11:13 PM)
Selected Area
Type: Parks & Reserves   Name: The Pines FFR


Common Filter
Taxon Type:,Reptiles
Advanced Filter
No advanced filter criteria.
Total Records
14
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
5134,Chelodina longicollis,Eastern Snake-necked Turtle, ,       ,"Aquatic fauna, Terrestrial fauna", , ,3,19/11/2008
12194,Amphibolurus muricatus,Tree Dragon, ,       ,Terrestrial fauna, , ,4,10/11/2014
12407,Lissolepis coventryi,Swamp Skink,Endangered,EN en  ,Terrestrial fauna, , ,4,31/03/2011
12450,Lampropholis delicata,Delicate Skink, ,       ,Terrestrial fauna, , ,1,23/05/1988
12451,Lampropholis guichenoti,Garden Skink, ,       ,Terrestrial fauna, , ,2,19/11/2008
12578,Tiliqua nigrolutea,Blotched Blue-tongued Lizard, ,       ,Terrestrial fauna, , ,7,08/11/2018
12580,Tiliqua scincoides,Common Blue-tongued Lizard, ,       ,Terrestrial fauna, , ,2,10/11/2014
12650,Cryptophis nigrescens,Eastern Small-eyed Snake, ,       ,Terrestrial fauna, , ,2,26/04/2019
12681,Notechis scutatus,Tiger Snake, ,       ,Terrestrial fauna, , ,2,10/11/2014
12682,Acritoscincus duperreyi,Eastern Three-lined Skink, ,       ,Terrestrial fauna, , ,1,23/05/1988
12699,Pseudonaja textilis,Eastern Brown Snake, ,       ,Terrestrial fauna, , ,1,28/12/1996
12973,Austrelaps superbus,Lowland Copperhead, ,       ,Terrestrial fauna, , ,2,13/03/1994
50292,Tiliqua spp.,Unidentified blue-tongued lizard, ,       ,Terrestrial fauna, , ,1,23/05/1988
62430,Liopholis whitii GROUP,White's Skink, ,       ,Terrestrial fauna, , ,1,19/10/2007
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
