"Victorian Biodiversity Atlas, Species Summary List"
(Date: 07/04/2026 11:20 PM)
Selected Area
Type: Parks & Reserves   Name: Frankston NCR


Common Filter
Taxon Type:,Mammals
Advanced Filter
No advanced filter criteria.
Total Records
12
Last Review Date:19 Dec 2025

Search Result
Taxon ID,Scientific Name,Common Name,FFG Status,Conservation Status,Discipline,Taxon Origin,Short Name,Count of Sightings,Last Record
11003,Tachyglossus aculeatus,Short-beaked Echidna, ,       ,Terrestrial fauna, , ,1,19/05/1988
11113,Trichosurus vulpecula,Common Brush-tailed Possum, ,       ,Terrestrial fauna, , ,2,21/11/2007
11129,Pseudocheirus peregrinus,Eastern Ring-tailed Possum, ,       ,Terrestrial fauna, , ,3,21/11/2007
11138,Petaurus notatus,Krefft's Glider, ,       ,Terrestrial fauna, , ,1,21/11/2007
11162,Phascolarctos cinereus,Koala, ,       ,Terrestrial fauna, , ,6,04/11/2020
11242,Wallabia bicolor,Black-tailed Wallaby, ,       ,Terrestrial fauna, , ,1,19/05/1988
11265,Macropus giganteus,Eastern Grey Kangaroo, ,       ,Terrestrial fauna, , ,1,18/01/1971
11398,Rattus lutreolus,Swamp Rat, ,       ,Terrestrial fauna, , ,10,19/12/2007
11408,Rattus rattus,Black Rat, ,      *,Terrestrial fauna,Introduced, ,3,19/05/1988
11412,Mus musculus,House Mouse, ,      *,Terrestrial fauna,Introduced, ,2,23/11/2007
11510,Oryctolagus cuniculus,European Rabbit, ,      *,Terrestrial fauna,Introduced, ,1,19/05/1988
528552,Vulpes vulpes,Red Fox, ,      *,Terrestrial fauna,Introduced, ,3,18/12/2007
"Copyright and Disclaimer 
 Copyright ï¿½ State of Victoria. Copyright resides with the State of Victoria or other data providers as indicated. 
 This page and all its components (including images, audio, video, text) is copyright. 

 Apart from the purposes listed in the Use of Information clause (in the Website terms and conditions of use) and from fair dealing for the purposes of private study, research, criticism or review as permitted under the Copyright Act 1968, no part may be reproduced, copied, transmitted in any form or by any means (electronic, mechanical or graphic) without the prior written permission of the State of Victoria. All requests and enquiries should be directed to the VBA adminstrator, email vba.help@dse.vic.gov.au. 

 This material may be of assistance to you but the State of Victoria and its employees do not guarantee the accuracy or authenticity of the data or that the data is appropriate for your particular purposes and therefore disclaim all liability for any error, loss or consequences which may arise from your use of or reliance on any information contained in this material."
